Testing W = 0.1
Models: BAC, DCS, DS(theta), QBCR, QBPL
27: 0.0128774, 0.0128774, 1.36106e-129, 3.39147e-124, 0.05003
26.5: 0.0110424, 0.0110424, 4.33415e-132, 1.57409e-130, 0.0445479
26: 0.00946646, 0.00946647, 4.52315e-134, 7.06136e-137, 0.0398394
25.5: 0.00807219, 0.0080722, 4.31543e-140, 2.15913e-139, 0.0357587
25: 0.0067947, 0.0067947, 1.24746e-142, 3.93925e-145, 0.0322468
24.5: 0.00557293, 0.00557292, 1.3526e-144, 1.48529e-151, 0.0290909
24: 0.00433308, 0.00433308, 1.19228e-150, 6.13973e-158, 0.0263485
23.5: 0.00293337, 0.0029335, 3.26473e-153, 2.43404e-164, 0.0239408
23: 0.000211046, 0.000211063, 6.19692e-159, 6.84381e-167, 0.0218259
22.5: 6.38032e-09, 6.38158e-09, 1.55572e-161, 1.25493e-172, 0.0199757
22: 1.11138e-16, 1.11159e-16, 2.97448e-167, 2.29225e-175, 0.0183516
21.5: 5.1811e-17, 5.18209e-17, 7.14994e-170, 1.96969e-181, 0.0169476
21: 1.68421e-17, 1.68454e-17, 8.35883e-172, 4.76872e-184, 0.0156982
20.5: 9.05693e-21, 9.05866e-21, 6.12793e-178, 4.67405e-186, 0.014611
20: 1.59508e-21, 1.59539e-21, 1.47476e-180, 2.36682e-188, 0.0136631
19.5: 4.2516e-25, 4.25242e-25, 2.8896e-186, 1.83316e-190, 0.0128073
19: 5.13826e-26, 5.13925e-26, 6.19705e-189, 1.06556e-192, 0.0120513
18.5: 8.30543e-30, 8.307e-30, 1.31849e-194, 6.38833e-195, 0.0113606
18: 7.4975e-31, 7.49892e-31, 2.68596e-197, 6.5064e-201, 0.010741
17.5: 8.24837e-35, 8.24993e-35, 5.87458e-203, 1.35792e-203, 0.010174
17: 6.06204e-39, 6.06321e-39, 1.29593e-209, 2.87825e-209, 0.00965306
16.5: 3.86181e-40, 3.86256e-40, 3.09196e-212, 5.44476e-212, 0.0091711
16: 2.727e-44, 2.72753e-44, 5.67766e-218, 7.16596e-214, 0.00872245
15.5: 1.4272e-45, 1.42747e-45, 1.02807e-220, 2.8577e-216, 0.00830263
15: 7.97142e-50, 7.97298e-50, 2.40102e-226, 3.98885e-222, 0.00790786
14.5: 3.49732e-51, 3.498e-51, 4.06781e-229, 7.31724e-229, 0.00753493
14: 2.08039e-52, 2.0808e-52, 5.72307e-231, 2.01143e-235, 0.00718116
13.5: 8.26806e-57, 8.26964e-57, 2.66053e-237, 3.98978e-238, 0.00684424
13: 2.86038e-58, 2.86093e-58, 4.96198e-240, 4.70908e-240, 0.00652219
12.5: 1.47533e-59, 1.47561e-59, 6.30038e-242, 2.13079e-246, 0.00621329
12: 6.77312e-61, 6.77441e-61, 2.2849e-244, 3.95221e-253, 0.00591604
11.5: 1.96606e-65, 1.96644e-65, 3.45145e-250, 9.05163e-260, 0.00562911
11: 3.1208e-70, 3.12138e-70, 4.21782e-257, 1.79171e-266, 0.0053513
10.5: 4.53612e-75, 4.53696e-75, 1.15054e-263, 3.66314e-273, 0.00508155
10: 1.04117e-76, 1.04137e-76, 1.91343e-266, 6.28659e-276, 0.00481887

Testing W = 0.7
Models: BAC, DCS, DS(theta), QBCR, QBPL
40: 0.62414, 0.62449, 3.50911e-09, 7.77508e-17, 0.646879
39.5: 0.598802, 0.599146, 2.62881e-15, 3.17888e-19, 0.625672
39: 0.570354, 0.570689, 1.14186e-17, 5.60838e-25, 0.602222
38.5: 0.538308, 0.53863, 1.96909e-23, 3.66747e-31, 0.5763
38: 0.502067, 0.50237, 7.99584e-26, 1.54042e-33, 0.547671
37.5: 0.460911, 0.461189, 7.82994e-28, 2.51779e-39, 0.516013
37: 0.414023, 0.414268, 5.72068e-30, 1.53787e-45, 0.48117
36.5: 0.360645, 0.360848, 4.71473e-32, 6.18051e-48, 0.442971
36: 0.300716, 0.300866, 6.01076e-38, 1.02897e-53, 0.401469
35.5: 0.23668, 0.236772, 3.46719e-44, 5.84287e-60, 0.35712
35: 0.175994, 0.176036, 2.02694e-50, 2.24723e-62, 0.310998
34.5: 0.127765, 0.127781, 7.65267e-53, 3.69524e-68, 0.265116
34: 0.0940065, 0.0940122, 1.25524e-58, 1.95165e-74, 0.222021
33.5: 0.0710693, 0.0710714, 4.38745e-61, 1.07222e-80, 0.184106
33: 0.0551893, 0.0551902, 7.36427e-67, 5.73052e-87, 0.15253
32.5: 0.0438695, 0.0438699, 3.60665e-73, 2.02094e-89, 0.127092
32: 0.0355444, 0.0355446, 1.86073e-79, 2.69928e-95, 0.106918
31.5: 0.0292225, 0.0292226, 9.31899e-86, 1.85117e-98, 0.0908612
31: 0.0242763, 0.0242764, 4.57165e-92, 9.61279e-105, 0.0780107
30.5: 0.0203129, 0.0203129, 1.53345e-94, 4.58591e-111, 0.067597
30: 0.0170861, 0.0170861, 2.40122e-100, 1.51691e-113, 0.0590532
29.5: 0.0144363, 0.0144363, 7.31911e-103, 2.40586e-119, 0.0519585
29: 0.0122485, 0.0122485, 1.21864e-108, 7.19943e-122, 0.0460033
28.5: 0.0104276, 0.0104277, 4.86059e-115, 6.95665e-124, 0.0409452
28: 0.00888919, 0.0088892, 1.5326e-117, 5.05796e-130, 0.0366137
27.5: 0.00755895, 0.00755896, 2.39364e-123, 1.50603e-132, 0.0328709
27: 0.00637268, 0.0063727, 6.66958e-126, 1.45704e-134, 0.0296095
26.5: 0.00527297, 0.00527297, 6.68691e-128, 1.2239e-140, 0.0267522
26: 0.00419994, 0.00419994, 3.66238e-130, 3.44078e-143, 0.0242279
25.5: 0.00306549, 0.00306549, 2.79449e-132, 5.6001e-149, 0.0219964
25: 0.00160854, 0.0016085, 2.6062e-138, 1.84302e-155, 0.0200206
24.5: 6.09682e-10, 6.09692e-10, 8.81868e-145, 5.29509e-158, 0.0182731
24: 1.00145e-09, 1.00146e-09, 2.47544e-147, 8.16996e-164, 0.016731
23.5: 5.92918e-15, 5.92927e-15, 3.50351e-153, 1.99487e-166, 0.0153741
23: 2.13293e-15, 2.13296e-15, 8.43407e-156, 3.12623e-172, 0.0141855
22.5: 5.81307e-16, 5.81317e-16, 8.5389e-158, 8.85987e-179, 0.0131367
22: 1.23914e-16, 1.23916e-16, 4.18314e-160, 3.06509e-185, 0.0122151
21.5: 3.93469e-20, 3.93476e-20, 5.01673e-166, 9.81423e-192, 0.0114022
21: 8.27055e-24, 8.27071e-24, 1.33108e-172, 2.49145e-194, 0.0106803
20.5: 9.26486e-25, 9.26503e-25, 3.45648e-175, 2.11351e-196, 0.0100389
20: 1.38542e-28, 1.38544e-28, 5.30902e-181, 1.0329e-198, 0.00945355
19.5: 1.42149e-32, 1.42151e-32, 1.23862e-187, 7.53504e-201, 0.00892731
19: 1.20299e-36, 1.20302e-36, 3.869e-194, 4.15226e-203, 0.00844731
18.5: 8.20411e-38, 8.20426e-38, 9.02078e-197, 4.16497e-209, 0.00800664
18: 6.43685e-39, 6.43697e-39, 8.8243e-199, 8.4316e-212, 0.00759964
17.5: 4.62692e-40, 4.627e-40, 3.91419e-201, 1.52882e-217, 0.00722162
17: 3.10386e-41, 3.10391e-41, 2.96178e-203, 2.89051e-224, 0.00686874
16.5: 1.94806e-42, 1.9481e-42, 1.50187e-205, 7.0851e-227, 0.00653378
16: 1.14869e-43, 1.14871e-43, 1.00703e-207, 9.8989e-233, 0.00622585
15.5: 6.3902e-45, 6.39032e-45, 5.42267e-210, 1.73505e-235, 0.00593084
15: 2.49954e-49, 2.49959e-49, 5.0715e-216, 1.8915e-237, 0.00565075
14.5: 6.12658e-54, 6.12667e-54, 8.622e-223, 4.80921e-240, 0.0053839
14: 1.35657e-58, 1.35659e-58, 2.33395e-229, 7.23443e-246, 0.00512884
13.5: 2.71559e-63, 2.71563e-63, 4.8711e-236, 1.0133e-252, 0.00488433
13: 7.72722e-65, 7.72733e-65, 1.01459e-238, 2.89994e-259, 0.00464926
12.5: 3.39399e-66, 3.39403e-66, 1.00269e-240, 5.46824e-266, 0.00442267
12: 1.32583e-67, 1.32585e-67, 3.78426e-243, 1.1327e-268, 0.00420369
11.5: 3.08532e-72, 3.08536e-72, 4.63489e-249, 1.80251e-274, 0.00399155
11: 3.85204e-77, 3.85208e-77, 5.06512e-256, 2.4686e-277, 0.00378554
10.5: 8.11455e-79, 8.11465e-79, 1.25614e-258, 4.96403e-283, 0.00358499
10: 1.79209e-83, 1.79212e-83, 1.63266e-264, 4.09501e-290, 0.0033893

Testing W = 0.8
Models: BAC, DCS, DS(theta), QBCR, QBPL
40: 0.510726, 0.511042, 2.70591e-19, 1.53807e-14, 0.551563
39.5: 0.470118, 0.470409, 1.50278e-25, 8.47656e-21, 0.519566
39: 0.423945, 0.424204, 9.20746e-32, 5.20217e-27, 0.484305
38.5: 0.371441, 0.371657, 3.60894e-34, 3.09155e-33, 0.445624
38: 0.312392, 0.312555, 5.48335e-40, 1.19573e-35, 0.403557
37.5: 0.248711, 0.248814, 2.96747e-46, 1.74268e-41, 0.35854
37: 0.186957, 0.187007, 1.12282e-48, 9.23919e-48, 0.311687
36.5: 0.136297, 0.136317, 1.67348e-54, 3.44977e-50, 0.265044
36: 0.0999938, 0.100001, 5.8332e-57, 2.98326e-52, 0.221329
35.5: 0.0750718, 0.0750742, 5.30331e-59, 2.61097e-58, 0.183003
35: 0.0577962, 0.0577972, 5.23463e-65, 9.08915e-61, 0.151208
34.5: 0.0455508, 0.0455513, 2.55948e-71, 1.35422e-66, 0.125711
34: 0.0366429, 0.0366431, 1.27878e-77, 4.42939e-69, 0.105523
33.5: 0.0299681, 0.0299682, 4.38243e-80, 4.02094e-71, 0.0895135
33: 0.0248088, 0.0248089, 3.83604e-82, 2.43347e-73, 0.0767001
32.5: 0.020706, 0.020706, 3.55616e-88, 2.83132e-79, 0.0663331
32: 0.0173699, 0.01737, 1.1302e-90, 1.21158e-85, 0.0578347
31.5: 0.0146183, 0.0146183, 1.00612e-92, 5.51802e-92, 0.0507885
31: 0.0123338, 0.0123338, 8.77847e-99, 2.43253e-98, 0.0448858
30.5: 0.0104311, 0.0104311, 3.61343e-105, 1.05349e-104, 0.0398839
30: 0.00883753, 0.00883733, 1.54716e-111, 3.29316e-107, 0.0356398
29.5: 0.00748387, 0.00748387, 4.75308e-114, 2.83762e-109, 0.0319279
29: 0.00630719, 0.00630719, 3.74242e-116, 1.60237e-111, 0.0287281
28.5: 0.00524982, 0.00524982, 3.14985e-122, 1.7298e-117, 0.0259304
28: 0.00425694, 0.00425694, 8.90476e-125, 6.12509e-124, 0.023462
27.5: 0.00326404, 0.00326404, 1.29553e-130, 2.40599e-130, 0.0212792
27: 0.0021489, 0.0021489, 3.36889e-133, 6.93293e-133, 0.0193407
26.5: 3.60358e-15, 3.60406e-15, 5.12774e-139, 5.8831e-135, 0.0176241
26: 3.73043e-16, 3.73092e-16, 1.57449e-145, 2.93908e-137, 0.0160978
25.5: 1.83408e-18, 1.83433e-18, 5.82408e-152, 1.58094e-139, 0.0147283
25: 8.23314e-19, 8.23425e-19, 1.58898e-154, 1.4409e-145, 0.0135315
24.5: 7.71135e-22, 7.71237e-22, 2.22044e-160, 3.5927e-148, 0.0124731
24: 4.1563e-25, 4.15684e-25, 6.15069e-167, 5.27206e-154, 0.0115413
23.5: 7.30615e-26, 7.3071e-26, 1.68907e-169, 1.21095e-156, 0.0107189
23: 2.10003e-29, 2.1003e-29, 2.24617e-175, 1.16562e-158, 0.00999314
22.5: 4.08753e-33, 4.08806e-33, 5.72853e-182, 5.32547e-161, 0.00934923
22: 6.19258e-37, 6.19337e-37, 1.89414e-188, 3.82927e-163, 0.00877169
21.5: 7.50426e-41, 7.50526e-41, 5.62407e-195, 2.81946e-169, 0.00825343
21: 6.13277e-42, 6.13358e-42, 1.40295e-197, 6.38251e-172, 0.00776932
20.5: 5.42938e-43, 5.4301e-43, 1.22057e-199, 5.97887e-174, 0.00735715
20: 4.38042e-44, 4.38097e-44, 5.55533e-202, 3.38772e-180, 0.00696543
19.5: 3.2668e-45, 3.26633e-45, 3.84079e-204, 8.55099e-187, 0.00659983
19: 2.26347e-46, 2.26315e-46, 1.96164e-206, 2.07366e-189, 0.00626931
18.5: 1.46234e-47, 1.46213e-47, 1.2134e-208, 2.80926e-195, 0.00595721
18: 7.58779e-52, 7.58669e-52, 9.1118e-215, 5.27017e-198, 0.00566502
17.5: 3.25881e-53, 3.25833e-53, 1.8059e-217, 9.00062e-204, 0.0053903
17: 1.797e-54, 1.79674e-54, 1.78928e-219, 1.5074e-210, 0.00513097
16.5: 9.15061e-56, 9.14928e-56, 6.87221e-222, 4.58379e-217, 0.00488531
16: 3.25193e-60, 3.25146e-60, 7.85184e-228, 9.53597e-220, 0.0046518
15.5: 1.0564e-61, 1.05625e-61, 1.34839e-230, 8.89158e-222, 0.00442917
15: 4.84801e-63, 4.84731e-63, 1.4693e-232, 3.3973e-224, 0.00421629
14.5: 1.34708e-67, 1.34688e-67, 5.78428e-239, 2.01932e-226, 0.00401221
14: 2.2941e-72, 2.29377e-72, 1.20202e-245, 6.24007e-233, 0.00381606
13.5: 3.59971e-77, 3.5992e-77, 2.7572e-252, 1.2096e-235, 0.00362709
13: 5.18545e-82, 5.18471e-82, 5.80164e-259, 1.85201e-241, 0.00344463
12.5: 6.87477e-87, 6.87378e-87, 1.24385e-265, 2.0565e-248, 0.00326806
12: 8.40526e-92, 8.40405e-92, 2.55257e-272, 5.26672e-251, 0.00309685
11.5: 1.72667e-93, 1.72643e-93, 5.0737e-275, 2.91422e-253, 0.00293047
11: 3.53002e-98, 3.52951e-98, 7.31269e-281, 1.77053e-259, 0.00276847
10.5: 6.38069e-100, 6.37978e-100, 9.68212e-284, 2.25558e-266, 0.00261038
10: 1.22643e-104, 1.22626e-104, 2.10369e-289, 5.96311e-273, 0.00245578

Testing W = 0.9
Models: BAC, DCS, DS(theta), QBCR, QBPL
40: 0.337483, 0.337675, 1.65942e-10, 5.41198e-10, 0.417637
39.5: 0.27582, 0.275952, 1.01106e-16, 2.84904e-16, 0.373278
39: 0.213502, 0.213573, 3.34324e-19, 1.09888e-18, 0.326822
38.5: 0.158905, 0.158936, 3.05822e-21, 9.26078e-21, 0.280107
38: 0.117492, 0.117504, 2.99173e-27, 6.0749e-23, 0.235716
37.5: 0.0881449, 0.0881494, 1.07526e-29, 7.04283e-29, 0.196174
37: 0.067443, 0.0674449, 9.12711e-32, 2.45828e-31, 0.162873
36.5: 0.052618, 0.0526188, 8.83933e-38, 2.08918e-33, 0.135831
36: 0.0418247, 0.0418251, 3.04215e-40, 1.9876e-39, 0.114293
35.5: 0.0338182, 0.0338184, 2.56932e-42, 6.74498e-42, 0.0969304
35: 0.0277372, 0.0277373, 2.37579e-48, 5.42189e-44, 0.0830317
34.5: 0.022994, 0.022994, 7.85709e-51, 3.33638e-46, 0.071765
34: 0.0191984, 0.0191984, 6.59907e-53, 3.64453e-52, 0.0624529
33.5: 0.0160962, 0.0160962, 5.82929e-59, 1.56172e-58, 0.0547408
33: 0.0135246, 0.0135246, 1.85262e-61, 5.09101e-61, 0.048268
32.5: 0.0113779, 0.0113779, 2.50475e-67, 3.45852e-63, 0.042785
32: 0.00958142, 0.00958142, 9.78447e-74, 3.09665e-69, 0.0381004
31.5: 0.00807196, 0.00807196, 4.2737e-80, 1.24793e-75, 0.0340691
31: 0.00678888, 0.0067888, 1.33946e-82, 3.95761e-78, 0.0305768
30.5: 0.00567307, 0.00567307, 1.08997e-84, 3.16764e-80, 0.0275308
30: 0.00466955, 0.00466955, 6.08118e-87, 2.31512e-86, 0.0248806
29.5: 0.00372283, 0.00372283, 4.11933e-89, 6.71813e-89, 0.0225047
29: 0.002762, 0.00276198, 3.62318e-95, 8.92211e-95, 0.020419
28.5: 0.0016229, 0.0016229, 1.27058e-101, 2.37429e-97, 0.0185623
28: 1.17111e-07, 1.17112e-07, 3.77751e-104, 3.3015e-103, 0.0169067
27.5: 2.5368e-09, 2.53681e-09, 4.7438e-110, 1.03124e-109, 0.0154327
27: 1.72838e-09, 1.72839e-09, 1.20967e-112, 3.9085e-116, 0.0141174
26.5: 5.1333e-15, 5.13333e-15, 1.68437e-118, 1.37665e-122, 0.0129507
26: 4.11771e-18, 4.11773e-18, 4.86383e-125, 3.85441e-125, 0.0119175
25.5: 2.07758e-21, 2.07759e-21, 1.76592e-131, 3.0908e-127, 0.0110018
25: 3.45609e-22, 3.45611e-22, 4.76889e-134, 1.37163e-129, 0.0101943
24.5: 5.27229e-23, 5.27232e-23, 3.85574e-136, 6.53169e-132, 0.00951107
24: 1.13072e-26, 1.13072e-26, 2.561e-142, 3.86682e-134, 0.00884461
23.5: 1.7026e-30, 1.70261e-30, 7.42656e-149, 3.2248e-140, 0.00827913
23: 2.06607e-34, 2.06608e-34, 2.40346e-155, 7.55727e-143, 0.0077704
22.5: 2.06226e-38, 2.06227e-38, 7.32354e-162, 6.53348e-145, 0.00731205
22: 1.48602e-39, 1.48602e-39, 1.87203e-164, 2.92606e-147, 0.00689633
21.5: 1.1761e-40, 1.17611e-40, 1.49843e-166, 1.96387e-149, 0.0065163
21: 8.76066e-45, 8.76072e-45, 9.0753e-173, 9.27293e-152, 0.00616705
20.5: 4.61948e-49, 4.61951e-49, 2.30504e-179, 7.22468e-158, 0.00583826
20: 2.13267e-53, 2.13269e-53, 6.80158e-186, 1.52937e-160, 0.00554448
19.5: 8.68285e-58, 8.68293e-58, 1.84255e-192, 1.36357e-162, 0.00526465
19: 3.74988e-59, 3.74991e-59, 4.4193e-195, 6.9096e-169, 0.0050023
18.5: 2.02203e-60, 2.02205e-60, 3.53826e-197, 1.53158e-171, 0.00475535
18: 7.87422e-65, 7.8743e-65, 1.9323e-203, 1.29187e-173, 0.00452204
17.5: 2.05594e-69, 2.05596e-69, 4.29116e-210, 5.20163e-176, 0.00430084
17: 6.79995e-71, 6.80002e-71, 1.02608e-212, 3.42884e-178, 0.00409047
16.5: 2.15347e-75, 2.1535e-75, 1.22269e-218, 1.5586e-180, 0.00388981
16: 6.28741e-77, 6.28748e-77, 2.13206e-221, 7.64287e-183, 0.0036979
15.5: 1.74347e-81, 1.74349e-81, 3.41411e-227, 2.36172e-185, 0.00351388
15: 2.86383e-86, 2.86386e-86, 4.59257e-234, 1.5511e-187, 0.00333627
14.5: 4.3677e-91, 4.36774e-91, 1.50196e-240, 8.34831e-194, 0.00316663
14: 6.14554e-96, 6.1456e-96, 2.81479e-247, 1.54067e-196, 0.00299958
13.5: 1.37591e-97, 1.37592e-97, 6.42616e-250, 7.08534e-199, 0.00284302
13: 2.89105e-102, 2.89108e-102, 7.47326e-256, 1.01336e-205, 0.00268878
12.5: 3.17484e-107, 3.17488e-107, 8.70589e-263, 2.54988e-208, 0.0025386
12: 6.14069e-109, 6.14076e-109, 2.376e-265, 2.54395e-214, 0.00239319
11.5: 1.13188e-113, 1.13189e-113, 2.20892e-271, 3.78684e-217, 0.00224956
11: 9.91042e-119, 9.91057e-119, 2.42627e-278, 6.31741e-223, 0.00211209
10.5: 8.39204e-124, 8.39217e-124, 7.87985e-285, 8.27745e-226, 0.0019761
10: 1.34808e-125, 1.34811e-125, 1.30142e-287, 9.85315e-228, 0.0018426

